city,state,YearMonth,AT,BP,PM2.5,RF,VWS,WD,WS,latitude,longitude
Chhal,Chhattisgarh,2023-03,24.993316270566726,,42.78401303875401,0.0032085561497326195,,145.84827056672745,2.2940235294117635,22.118125,83.140608
Chhal,Chhattisgarh,2023-04,29.494547368421028,,31.11462153069794,0.0021532091097308495,,150.6321871049306,1.2690893617021268,22.118125,83.140608
Chhal,Chhattisgarh,2023-05,31.77639189189189,,23.18883148405,0.0058783783783783764,,160.10437457741685,0.47766475160527155,22.118125,83.140608
Chhal,Chhattisgarh,2023-06,32.357530819434416,,18.44882776934751,0.057215373459028225,,159.1896082698587,0.5285418933623505,22.118125,83.140608
Chhal,Chhattisgarh,2023-07,28.705527678215844,,11.568610855565812,0.051772202309836764,,139.43217443249682,0.43560334528076455,22.118125,83.140608
Chhal,Chhattisgarh,2023-08,27.38220884955756,,20.17423572744018,0.11037168141592911,,146.15129603399433,0.4572601769911505,22.118125,83.140608
Chhal,Chhattisgarh,2023-09,27.17994080505129,,15.436958143389928,0.11128650355169674,,145.692537490134,0.3497079715864245,22.118125,83.140608
Chhal,Chhattisgarh,2023-10,25.712402572833838,,25.034492366412202,0.006659099508134695,,159.20460606060618,0.37298863636363666,22.118125,83.140608
Chhal,Chhattisgarh,2023-11,22.246380106571927,,40.93481936416184,0.007531083481349909,,154.26398506932085,0.3169321009598294,22.118125,83.140608
Chhal,Chhattisgarh,2023-12,17.981306036004256,,40.683972150970995,0.013554535827744468,,158.2537358757063,0.3172714436992594,22.118125,83.140608
Chhapra,Bihar,2023-01,13.809836065573757,,203.54125412541254,0.0,,143.4607351712615,0.7595997034840504,25.7808257,84.7446768
Chhapra,Bihar,2023-02,21.372976054732042,,136.52895277207392,0.0,,174.71987410071944,0.7747340425531797,25.7808257,84.7446768
Chhapra,Bihar,2023-03,26.458714285714223,,87.60223988439306,0.0035727045373347625,,168.55333584621184,0.7974258133714636,25.7808257,84.7446768
Chhapra,Bihar,2023-04,31.55721450617287,,60.52363925307906,0.0,,145.49198279233477,1.0843326885880087,25.7808257,84.7446768
Chhapra,Bihar,2023-05,32.29747305834256,,49.84377358490566,0.0,,166.0833962264151,1.0656749721085907,25.7808257,84.7446768
Chhapra,Bihar,2023-06,35.085714285714396,,38.8613460831188,0.0154419595314164,,172.24142857142857,1.2337118523775694,25.7808257,84.7446768
Chhapra,Bihar,2023-07,31.97280701754385,,25.57671769312923,0.08124785738772712,,204.58032335741314,1.1452862529996601,25.7808257,84.7446768
Chhapra,Bihar,2023-08,30.599440715883688,,43.77022518765638,0.19806936002860207,,176.26294964028776,1.1821403006442477,25.7808257,84.7446768
Chhapra,Bihar,2023-09,30.455879180151115,,36.560556165386025,0.0789284430061129,,158.89676708302719,1.006796116504861,25.7808257,84.7446768
Chhapra,Bihar,2023-10,28.254841014648033,,29.89375,0.03582887700534759,,151.9074580242093,0.9259272467902914,25.7808257,84.7446768
Chhapra,Bihar,2023-11,23.932682060390754,,150.19636493228796,0.0,,147.88203753351206,0.8125667497330061,25.7808257,84.7446768
